WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.100.220:5000
Press CTRL+C to quit
127.0.0.1 - - [14/Jun/2026 21:07:38] "GET /assets/fonts/Inter-Regular.woff2 HTTP/1.1" 404 -
127.0.0.1 - - [14/Jun/2026 21:07:38] "GET /assets/fonts/Inter-Bold.woff2 HTTP/1.1" 404 -
127.0.0.1 - - [14/Jun/2026 21:07:38] "GET /assets/fonts/Inter-SemiBold.woff2 HTTP/1.1" 404 -
127.0.0.1 - - [14/Jun/2026 21:48:23] "GET /habitats HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2026 21:48:24] "GET /static/css/app.css?v=2 HTTP/1.1" 304 -
127.0.0.1 - - [14/Jun/2026 21:48:24] "GET /static/js/app.js?v=2 HTTP/1.1" 304 -
127.0.0.1 - - [14/Jun/2026 21:48:24] "GET /assets/fonts/Inter-ExtraBold.woff2 HTTP/1.1" 404 -
127.0.0.1 - - [14/Jun/2026 21:48:24] "GET /assets/fonts/Inter-Regular.woff2 HTTP/1.1" 404 -
127.0.0.1 - - [14/Jun/2026 21:48:24] "GET /assets/fonts/Inter-Bold.woff2 HTTP/1.1" 404 -
127.0.0.1 - - [14/Jun/2026 21:49:06] "GET /identify HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2026 21:49:06] "GET /static/css/app.css?v=2 HTTP/1.1" 304 -
127.0.0.1 - - [14/Jun/2026 21:49:06] "GET /static/js/app.js?v=2 HTTP/1.1" 304 -
127.0.0.1 - - [14/Jun/2026 21:49:06] "GET /static/img/placeholder.svg HTTP/1.1" 304 -
127.0.0.1 - - [14/Jun/2026 21:49:06] "GET /assets/fonts/Inter-ExtraBold.woff2 HTTP/1.1" 404 -
127.0.0.1 - - [14/Jun/2026 21:49:06] "GET /assets/fonts/Inter-Regular.woff2 HTTP/1.1" 404 -
127.0.0.1 - - [14/Jun/2026 21:49:06] "GET /assets/fonts/Inter-Bold.woff2 HTTP/1.1" 404 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /species HTTP/1.1" 200 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /static/css/app.css?v=2 HTTP/1.1" 304 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /static/js/app.js?v=2 HTTP/1.1" 304 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /bird-image/White_Pelican/White_Pelican_0003_96691.jpg HTTP/1.1" 304 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /bird-image/Pied_Kingfisher/Pied_Kingfisher_0004_72135.jpg HTTP/1.1" 304 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /bird-image/Cape_Glossy_Starling/Cape_Glossy_Starling_0002_129310.jpg HTTP/1.1" 304 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /bird-image/Grasshopper_Sparrow/Grasshopper_Sparrow_0001_115938.jpg HTTP/1.1" 304 -
127.0.0.1 - - [14/Jun/2026 21:50:22] "GET /bird-image/Barn_Swallow/Barn_Swallow_0002_130551.jpg HTTP/1.1" 304 -
